q_ID;question_txt
1;Dawn or dusk?;001_Q1
2;Forest or river?;002_Q2
3;Moon or stars?;003_Q3
4;Black or White?;004_Q4
5;Heads or Tails;005_Q5
6;Left or Right;006_Q6
7;Four boxes are placed before you. Which would you try and open?;007_Q7
8;You and two friends need to cross a bridge guarded by a river troll who insists on fighting one of you before he will let all of you pass. Do you:;012_Q8
9;Once every century, the Flutterby bush produces flowers that adapt their scent to attract the unwary. If it lured you, it would smell of:;017_Q9
10;One of your house mates has cheated in a Hogwarts exam by using a Self-Spelling Quill. Now he has come top of the class in Charms, beating you into second place. Professor Flitwick is suspicious of what happened. He draws you to one side after his lesson and asks you whether or not your classmate used a forbidden quill. What do you do?;022_Q10
11;Which of the following do you find most difficult to deal with?
12;You enter an enchanted garden. What would you be most curious to examine first?
13;Four goblets are placed before you. Which would you choose to drink?
14;What kind of instrument most pleases your ear?
15;Which of the following would you most hate people to call you?
16;After you have died, what would you most like people to do when they hear your name?
17;How would you like to be known to history?
18;A Muggle confronts you and says that they are sure you are a witch or wizard. Do you:
19;Which nightmare would frighten you most?
20;If you were attending Hogwarts, which pet would you choose to take with you?
21;Given the choice, would you rather invent a potion that would guarantee you:
22;If you could have any power, which would you choose?
23;Which road tempts you most?
24;Late at night, walking alone down the street, you hear a peculiar cry that you believe to have a magical source. Do you:
25;What are you most looking forward to learning at Hogwarts?
26;Which of the following would you most like to study?
27;A troll has gone berserk in the Headmaster’s study at Hogwarts. It is about to smash, crush and tear several irreplaceable items and treasures. In which order would you rescue these objects from the troll’s club, if you could?
28;Which would you rather be: